requirement_id,phase,issue,origin,state_owner,producer,player_capability,autonomous_trigger,consumers,ui_surfaces,tests,migration,status,notes
DEP-02,4,ISSUE-174,"Plan §4.2 — service must model capacity, queues, throughput, patience, abandonment, and staff allocation","src/sim/modules/service/flow/types.ts ServiceFlowResult (parties, waves, per-stage capacity, bottleneck) on state.modules.service.result.flow; src/sim/modules/customers/types.ts CustomerDemand (who set out tonight)","src/sim/modules/service/flow (resolveFlow.ts wave loop, capacity.ts per-stage ceilings, parties.ts arrivals, choice.ts orders, areaImpact.ts wear, flowIncidents.ts §4.4); src/sim/modules/customers/customerModule.ts serviceHook (demand only)","staff priorities and shifts (kitchen/service/cleaning/security contributions); area upgrades and repairs (seats, workstations); restock; menu toggles; enable_refuse_tabs","the six-wave loop inside the service phase: arrivals by traffic pattern, seating, prep, delivery, turnover, cleaning reset, patience and abandonment",src/sim/modules/customers/satisfaction.ts (abandonment signal); src/sim/modules/service/serviceScenes.ts; src/sim/modules/areas (occupancy); weekly; issue seed generators; pressures,"DAILY SERVICE REPORT ""Service Flow:"" block (arrivals/seated/served/left, per-stage capacity, per-wave line, bottleneck, reconciliation)",tests/sim/phase211.serviceFlow.test.ts; tests/sim/phase211.serviceBeatPersistence.test.ts; tests/sim/phase12.service.test.ts; tests/sim/phase209.areaCapacityAndPropagation.test.ts,done,done,"Six waves inside Segment B; each stage has a real ceiling derived from areas (usable seats) and the staff roster (contribution by work kind). The KITCHEN is deliberately the tightest stage, which is what makes Phase 2 getKitchenThroughputFactor reach the till at all. Calibration: SERVINGS_PER_PATRON is set against the TILL (567 vs the frozen 561 on the baseline seed) rather than the plate count, because a chosen order is a slightly cheaper order - see the note on that constant. MAX_PARTIES_PER_DAY 48 with headcount conserved exactly: a flood arrives as bigger parties, not more of them. Patron-driven area wear MOVED here from customers/impact.ts so it lands in the rooms people actually sat in; customers/purchases.ts and customers/impact.ts are deleted, and cookStretchFactor moved to flow/capacity.ts so the Phase 12 stretch_ingredients rule survives the basket it used to scale."
DEP-03,2,ISSUE-172,"Plan §4.2 — areas must model usable capacity, spatial relationships, construction, materials, hazards, and upgrades","src/sim/state/TavernState.ts AreaState (six meters + traits/atmosphere/upgrades) with capacity DERIVED, never stored; static size + adjacency on src/sim/registries/areaRegistry.ts (AreaDefinition.capacity / .adjacency, vocabulary in areaCapacityTypes.ts)","src/sim/modules/areas (capacity.ts, construction.ts, propagation.ts, schedule.ts, areaEvents.ts, state.ts, quote.ts)","clean/repair/patch/fumigate as before, plus the 7-action upgrade lifecycle; minor_repairs staff priority raises the concurrent-site limit and site labour",daily decay (unchanged) + construction/upkeep ticks + 8 bounded propagation edges + crowding from the capacity snapshot,"src/sim/modules/customers/satisfaction.ts (crowding, sanitation); src/sim/modules/stock/spoilage.ts (overstuffed storage); areasModule endWeek ingredient yield (bed_neglected halves the cut); pressures; issue seed generators","AreaDetailSheet.svelte; AreasPanel.svelte; ProjectsPanel.svelte; AREA REPORT (capacity, work in hand, knock-on effects)",tests/sim/phase209.areaCapacityAndPropagation.test.ts; tests/sim/phase209.areaUpgradeLifecycle.test.ts; tests/sim/phase8.areas.test.ts; tests/sim/phase28.areaTraitsUpgrades.test.ts,done,done,"Four capacity kinds (seats/workstations/storage/beds), each with at least one consumer; 11 adjacency links across 9 areas (36 possible pairs) so the graph is bounded by construction; 8 propagation edges, each naming a physical route, with the two cross-area ones checked against the adjacency graph by findUngroundedPropagationEdges. Calibration: main_room seats 90 (pooled 110 customer-facing) so the reference route never overcrowds — capacity binds when the PLAYER blocks a room, lets it rot, or grows patronage. Queues, patience and abandonment are Phase 4. Migration: ensureAreaConstructionFields (src/sim/state/migrations.ts), wired into the web load chain immediately after ensureAreaIdentityFields. Codex review round (PR #247): crew labour splits across SCHEDULED sites rather than every in_progress record (a conflicted site used to absorb a share that then vanished) — which is why getSiteLabourPerDay lives in schedule.ts and the labour/site primitives in labour.ts; workstation capacity now genuinely constrains, as the tighter of supervision and usable workstations for concurrency plus getKitchenThroughputFactor for what the kitchen gets out; and the cellar-pest edge filters to perishables, having previously and reliably gnawed the firewood, whose spoilage is never read."
DEP-04,3,ISSUE-173,"Plan §4.2 — staff must have schedules, availability, relationships, development, labor terms, absence, burnout outcomes, and autonomous separation","src/sim/state/TavernState.ts StaffState gains shift/assignedAreaId/absence/experience/crossTraining/careerGoal/daysEmployed/consecutiveDaysWorked; src/sim/modules/staff/workforceTypes.ts StaffWorkforceState at state.modules.staff (employment records, labor market, relationship edges, staff actors, the day's roster/coverage/development/separations, lastWageSettlement, lifetime totals)",src/sim/modules/staff/employment.ts — the only writer of employment terms and the only remover of staff (setStaffWage/disciplineStaff/giveNotice/withdrawNotice/separateStaff); src/sim/modules/staff/laborMarket.ts applicants + vacancies + hireApplicant; src/sim/modules/staff/roster.ts resolveAbsences/buildRoster/buildCoverage/applyDayLoad/advanceTenure; src/sim/modules/staff/development.ts grantExperience/trainStaff/promoteStaff; src/sim/modules/staff/relationships.ts noteContact/ageRelationships; src/sim/modules/staff/staffWages.ts settleWeeklyWages/payDownArrears; src/sim/modules/staff/staffActors.ts runStaffActors,"12 owner actions in src/sim/modules/ownerActions/workforceActions.ts: hire_staff (applicant board, negotiated wage), set_staff_shift, assign_staff_area, train_staff (own trade or a second one), promote_staff, adjust_staff_wage, pay_staff_wages, grant_staff_leave, discipline_staff, give_staff_notice, fire_staff (severance in lieu of notice), negotiate_with_staff; plus the 12 staff priorities, now load-bearing through the roster","staff startDay: absence/illness/injury resolution, returns, relationship ageing, labor-market refresh; assignStaffPriorities: buildRoster; afterService: applyDayLoad (the ONE writer of the day's fatigue/stress); endDay: applyExperience/advanceTenure/runStaffActors (Phase 1 actor contract, intent declared one evening and performed the next); endWeek: settleWeeklyWages; 11 registered scheduled event types",src/sim/modules/staff/priorityEffects.ts scales every published modifier by the roster row's contribution; src/sim/modules/service/resolveService.ts reads the roster row for its staffChanges report; src/sim/modules/service/recipes.ts prep gate; issue seed generators; pressures calculators,"STAFF REPORT (terms, assignment + contribution breakdown, coverage, development, departures, at-risk list with itemised contributors and remedies, staff intentions, working relationships, the applicant board, the last wage settlement); derived Help in src/reports/workforceHelp.ts; six new glossary terms in src/reports/glossary.ts",tests/sim/phase210.workforceLifecycle.test.ts (36); tests/sim/phase210.retentionAndQuitting.test.ts (35); tests/sim/phase210.workforceBeatPersistence.test.ts (6); tests/reports/tavernOverviewProjection.test.ts (hiring board); tests/web/components/staffHiringBoard.test.ts (3),done,done,"CLOSED. Founding staff are no longer structurally immune: staffModule's startDay stopped throwing on a missing cook/server/cleaner_bouncer, validateStaff stopped reporting it as an error, and fire_staff's founding-role exemption is gone — a missing role is now a coverage gap with a measurable cost. Wages settle partial-first and the shortfall becomes a per-person payable in the shared obligation ledger, so nonpayment is a debt rather than a mood. The service module's traffic-driven fatigue rule MOVED into staff/roster.ts rather than being duplicated (two writers would have doubled the rate); it now keys off work kind rather than role and adds overtime, coverage-gap and conflict burdens on top. src/sim/core/diff.ts sorts its module walk, which is the fix Phase 1 recorded as outstanding on CON-04. Two new roles (head_server, head_keeper) exist so promotion is reachable for the two families that had no rung above them; staffRoles 6 -> 8, ownerActions 41 -> 51, staffPriorities still 12. Migration: ensureStaffWorkforceFields (src/sim/state/migrations.ts), wired into the web load chain after ensureExpansionContractSlices; it fills the fields from identity rather than rolling them (so no generated name shifts) and starts employment tracking on the day the save is at rather than backdating tenure nobody earned. REVIEW ROUND (Codex on PR #248, 11 findings, all fixed with regressions that fail on the pre-fix tree): weekly settlement now SPENDS the coin it uses to clear arrears (payDownArrears spend:true, its own ledger line) — before, back pay was written off for free every week; raise_promised judges a hook-routed promise by EmploymentRecord.lastRaiseOnDay (the event) rather than by the wage on the record (the level the rise itself moves); setAbsence takes includeToday:false for anything decided at endDay, so call_in_sick costs the NEXT day rather than expiring overnight; findWillingCover rejects rest days, notice and absence at the search rather than at the caller; promote_staff answers the raise demand but no longer cancels a live quit risk, and opens a vacancy for the post it vacates; staff_bonus_expected recognises the shared staff_bonus_paid_recently memory that pay_staff_bonus writes; training_helper reads its subject as the MENTOR (new relationships.findTrainingLearner); a dismissal at MAX_DISCIPLINE_ESCALATION costs no crew-wide witness morale; separateStaff takes activeEventId so a separation event does not archive its own firing twice; and resolveAbsences excludes today's returnees from the illness roll. SECOND REVIEW ROUND (PR #248, 7 findings + 1 the player reported): the hiring board had NO UI SURFACE — hire_staff takes an applicant now, but Tavern > Staff listed only the current roster and its empty state pointed at the World screen's adventurer list, so StaffPanelData gained a hiring block (applicants with role/skill/ask/provenance/days-left plus their hire_staff ref, and the open vacancies) rendered under the roster; wage_expectation is judged on whether extra coin reached them again rather than on paidThisWeek; coverage_gap counts cover from somebody OTHER than the reduced worker, against a demand floor of one; abandonment reads a remembered RUN of unexcused days (EmploymentRecord.unexcusedDays / lastUnexcusedOnDay, UNEXCUSED_MEMORY_DAYS = 21) and is checked BEFORE the return pass that clears an absence; scheduleQuitRisk returns 'scheduled' | 'already_live' | 'suppressed' | 'no_target' so the actor stops handing in notice while a live warning is still running; the weekly actor allowance refills on the first day of the week rather than at endDay on the seventh; findTrainingHelper / findTrainingLearner / findWillingCover all go through one isOnDuty predicate in workforceTypes.ts; and negotiate_with_staff requires something ANNOUNCED (live quit risk, resignation on the record, or a declared give_notice intent) rather than accepting every live employee — a contributor-score gate was tried and rejected because the score reads live meters that move within the day."
DEP-05,4,ISSUE-174,Plan §4.2 — customers and regulars must make service-level choices rather than existing only as aggregate demand and descriptive individuals,"src/sim/state/TavernState.ts RegularWorldState gains favoriteRecipeId, favoriteAreaId, ownerStanding, serviceMemory (capped at MAX_REGULAR_SERVICE_MEMORY), openRequest, lastVisitOutcome, consecutiveBadVisits, stoppedVisiting, wordOfMouth; customerGroups keep the population","src/sim/modules/regulars (visits.ts assessVisit/rollVisit/learnPreferences, regularMemory.ts, regularRequests.ts, regularOutcomes.ts); src/sim/modules/service/flow/choice.ts scoreRecipeForParty",greet_regular; answer_regular_request; forgive_tab; collect_tab; menu toggles; restock (a regular usual back on the menu),visit intents decided at regularCustomerUpdate from belief/treatment/stock/identity; outcomes read back at afterService; requests opened and swept daily; three bad visits ends with stoppedVisiting,"src/sim/modules/service/flow (parties, seating, orders); src/sim/modules/regulars/regularEvents.ts; pressures (regular_customer_loss); issue seed generators; memories",REGULARS REPORT; DAILY SERVICE REPORT service-flow block; world overview regulars,tests/sim/phase211.regularsAndTabs.test.ts; tests/sim/phase211.serviceBeatPersistence.test.ts; tests/sim/phase51.regularCapDecay.test.ts; tests/sim/phase54.regularCustomer.test.ts,done,done,"A visit is now decide (intent) -> serve (flow) -> read back (outcome), so visits counts attendance rather than intent. Favourite stock is behavioural: favouriteAvailability moves visit probability and regularFavouriteTerm moves the order. Preferences are LEARNED from what the party actually did rather than rolled at emergence. The Phase 30 absent-drift rule (irritation +1 on nights they stayed home) is REMOVED as backwards; that exposed a pre-existing rotation gap in the regular_customer seed family which the tracker assigns to Phase 11 / ISSUE-169 and which is recorded in phase54.regularCustomer.test.ts rather than fixed here. Migration: ensureRegularServiceFields (src/sim/state/migrations.ts), wired into the web load chain after ensureStaffWorkforceFields; regularDefaults.ts is the single definition the factory, the emergence pass and the migration all use, so a reloaded day is the same day."
DEP-06,6,ISSUE-176,Plan §4.2 — suppliers must operate an actual order to delivery to invoice chain,"src/sim/modules/suppliers/types.ts SupplierModuleState.orders / orderArchive / accounts / spotPurchasesToday / totals at state.modules.suppliers — PurchaseOrderRecord extends the shared OrderRecord contract; the money side is an ObligationRecord in the shared ledger (src/sim/contracts/obligations), never a supplier-local debt","src/sim/modules/suppliers/quote.ts (the one pure quote: goods, market conditions, relationship, reliability, capacity, existing commitments, credit history, faction ties, held beliefs, urgency, negotiated terms); orders.ts placeOrder/placeSplitOrder/amendOrder/cancelOrder/deliverOrder/receiveGoods/buyOnSpotMarket; invoices.ts openSupplierInvoice/paySupplierInvoice/creditNoteAgainstInvoice; credit.ts requestSupplierCredit/reviewSupplierCredit/negotiateSupplierTerms/expireNegotiatedTerms","8 owner actions in src/sim/modules/suppliers/actions.ts: place_supplier_order (""<supplierId>:<stockId>"", options credit/rush/substitute/split), amend_supplier_order, cancel_supplier_order, dispute_supplier_delivery, request_supplier_credit, pay_supplier_invoice, schedule_supplier_payment, negotiate_supplier_terms. restock_item is retargeted at the local spot market (premium price, common goods only, daily cap)","supplier_delivery_due (morning) rolls reliability on the real order and delivers full/partial/missed; supplier_scheduled_payment (wrap_up); supplierUpdate runs the daily credit review, terms expiry, account seeding/pruning and relationship drift; six supplier future-hook families resolve into terms","src/sim/modules/stock (quantity + blended quality, shortage records); economy accounting creditPurchases/invoicePayments/stockPurchases; weekly supplierInvoices; the next quote reads the account it wrote","SupplierDetailSheet.svelte plus SupplierActionComposer.svelte (credit standing, open orders, invoices, live quotes and quantity/options forms); worldOverviewProjection SupplierRow.credit/openOrders/invoices/goods[].quote; SUPPLIER REPORT open-order and invoice blocks; WeeklyOverview supplier invoices, now derived from real records",tests/sim/phase213.supplierOrders.test.ts (27); phase213.supplierCredit.test.ts (13); phase213.supplierEvents.test.ts (13); phase213.procurementBeatPersistence.test.ts (6); tests/web/components/supplierActionComposer.test.ts (4),done,done,"CLOSED with OBL-04. The order-to-delivery-to-invoice chain exists end to end and every link has player counterplay: alternative suppliers, order splitting across them, rush orders, sanctioned related/lower-grade substitutions, bulk breaks against spoilage, a dearer local-market fallback, relationship negotiation, and dispute-and-reconciliation that credits a shorted bill. Accepted orders reserve supplier capacity and approved credit, prepaid balances are reconciled against goods actually delivered, and partial invoices use cumulative rounding deltas. Bounded by MAX_OPEN_PURCHASE_ORDERS 40 / MAX_ARCHIVED_PURCHASE_ORDERS 60 / MAX_ORDER_ATTEMPTS 6, with accounts pruned to live suppliers. Migration: ensureSupplierProcurementFields."
DEP-07,7,ISSUE-177,"Plan §4.2 — inspections, rent, loans, arrears, and eviction must form real external-obligation lifecycles","src/sim/modules/finance (loans, lenders), src/sim/modules/tenancy (tenancy, landlord, notices, repairs), src/sim/modules/regulatory (evidence, cases, findings); rent and fines are ObligationRecords in the shared ledger",finance/loans.ts; tenancy/tenancy.ts; regulatory/inspection.ts,"take_loan, repay_loan, renegotiate_loan, settle_loan; pay_rent, negotiate_tenancy, grant/refuse_landlord_access, request_landlord_repair, reinstate_tenancy; put_the_books_in_order, declare_remediation, appeal_finding, pay_watch_fine, bribe_inspector","loan_instalment_review, loan_collections, rent_period_rollover, tenancy_escalation_review, eviction_hearing, landlord_goodwill, landlord_access_request, regulatory_visit, regulatory_followup, inspection_bribe_exposed, watch_relationship, cleaning_routine_review",shared obligation ledger; economy externalArrears + financial status; pressure:debt / :landlord / :inspection; monthly report projections,LOANS / TENANCY / INSPECTION report sections; Reports → Owed (src/reports/obligationCalendarProjection.ts + ObligationsOverview.svelte),tests/sim/phase214.loans.test.ts; tests/sim/phase214.tenancy.test.ts; tests/sim/phase214.inspection.test.ts; tests/sim/phase214.externalObligationPersistence.test.ts,required,done,"Closed by Phase 7 (ISSUE-177). Rent, loans, fines and arrears are all ObligationRecords with due dates, grace, late charges and default; each domain owns its own escalation ladder on top. `loan_due_soon` now declines to become mechanical when no loan exists."
DEP-08,8,ISSUE-178,"Plan §4.2 — cultures and factions must have goals, resources, actions, memory, and reciprocal consequences","src/sim/state/TavernState.ts WorldState.factions and WorldState.cultures (the visible meters, cultures now including trust); src/sim/modules/factions/types.ts FactionModuleState at state.modules.factions; src/sim/modules/cultures/types.ts CultureModuleState at state.modules.cultures — evidence ledger, accommodation history, dish/area experience, misunderstandings, culture-to-culture friction, observances","src/sim/modules/factions/factionActors.ts runFactionActors (the only writer of a faction move); src/sim/modules/cultures/serviceEvidence.ts observeServiceEvidence (the only writer of culture experience, read off Phase 4 flow.parties); standing.ts summarises both onto the visible meters","6 owner actions: grant_faction_demand, refuse_faction_demand, appeal_to_faction, repay_faction_favour, make_amends_to_culture, mark_culture_observance; plus the seat_groups_apart policy and the existing host_faction_night","factionUpdate: observe -> summarise -> decide/announce/act; cultureUpdate: summarise -> preference shifts -> weekly recommendations; closing: culture service evidence, observance resolution, misunderstanding review; endDay/closing: pruning","src/sim/modules/customers/forecast.ts (faction boycott/support; culture attendance, misunderstanding and accommodation, bounded by MAX_CULTURE_FORECAST_SWING); src/sim/modules/suppliers/quote.ts; src/sim/modules/pressures/calculators/violence.ts and culturalTension.ts; src/sim/modules/economy/dynamics.ts; src/sim/modules/service/flow/capacity.ts","FACTION REPORT and CULTURE REPORT (moves, intent, stances, requests, tonight’s evidence, unresolved matters with their remedy, friction); world overview blocks",tests/sim/phase215.factionAgency.test.ts; tests/sim/phase215.factionEvents.test.ts; tests/sim/phase215.factionPersistence.test.ts; tests/sim/phase215.cultureAgency.test.ts; tests/sim/phase215.culturePersistence.test.ts; tests/sim/phase52.nicheFactions.test.ts; tests/sim/phase50.culturesTagAlignment.test.ts,required,done,"Both halves closed. Factions (8.1): threshold drift replaced by goals, influence-derived budget, constituency, an 8-move action set, deterministic scoring, commitments/cooldowns, visible intent and 4 opposing actions. Cultures (8.2): taboo/delight now read delivered order lines rather than cellar stock, seating tension reads actual placement and crowding from Phase 4, plus dynamic comfort/familiarity/trust/tension, accommodation history, calendar observance, culture-to-culture friction, and misunderstanding with reconciliation."
DEP-09,8,ISSUE-178,Plan §4.2 — notable NPCs and rivals must be capable of visible autonomous moves,"src/sim/modules/npcs/types.ts NpcModuleState at state.modules.npcs — per-NPC dealings, ownerStanding, relationships, availability, resources, importance and promotion, plus an ActorState for the promoted few; src/sim/state/TavernState.ts NotableNpcWorldState.lastSeenDay is finally written",src/sim/modules/npcs/dealings.ts observeAvailability (startDay) + observeDealings (closing); importance.ts reviewPromotions is the only writer of the promoted flag; npcActors.ts runNpcActors is the only writer of an NPC move. Rival deepening stays Phase 9 §9.1,"3 owner actions in src/sim/modules/ownerActions/npcActions.ts: accept_npc_offer, decline_npc_offer, cultivate_npc (the last drives the repeated-interaction threshold)","startDay availability; closing dealings then promotion review; endDay decide/announce/act with a 2-day intent lead, then pruning; wrap_up npc_proposal_deadline",src/sim/modules/factions/standing.ts (put_in_a_word writes the faction standing ledger); src/sim/modules/regulatory/evidence.ts (take_it_to_the_watch); stock + coin ledger on an accepted offer; issue-seed generators and cause targets already reference notable_npc refs,"PEOPLE OF NOTE report (today, announced, on the table, who matters and why, about today)",tests/sim/phase215.npcAgency.test.ts; tests/sim/phase215.npcPersistence.test.ts,required,in-progress,"Notable-NPC half DONE in 8.3: two tiers, and the promotion rule is the phase. Everybody in world.notableNpcs gets a cheap Tier 1 record; only somebody the house has dealt with >=4 times AND who matters to something live (a case, a loan, a faction position, a culture dispute) is promoted to an actor, capped at 4 with grace-window hysteresis. Rival actor remains open for Phase 9 §9.1."
DEP-10,8,ISSUE-178,Plan §4.2 — rumours must spread through actors or channels rather than only appearing and decaying in a container,"src/sim/state/TavernState.ts SocialRumourState (credibility/reach/audiences[RumourAudience]/distortion/originalLabel/hops/counterRumourId/correctedOnDay/originRef) — the story itself; src/sim/modules/rumours/rumourState.ts RumourModuleState at state.modules.rumours (channels with weekly share budgets, spreadToday, spreadHistory, totals)","src/sim/modules/rumours/ — origins.ts (inferOrigin/seedRumourOrigins adopts every ownerless rumour), channels.ts (listChannels/audiencesFor/willingToShare over promoted NPCs, factions, cultures and customer groups), propagation.ts (propagateRumours, distortion on the hop), belief.ts (reinforceRumours/openContradiction/applyContradictions/correctRumour/decayRumours). The rumour module is the ONLY writer of world.socialRumours after creation","3 owner actions in src/sim/modules/ownerActions/rumourActions.ts: deny_rumour (cheap, can backfire against a true story), counter_rumour (puts a rival story about — both lose credit), name_the_source (settles it and costs the standing of whoever is named)",rumoursModule rumourUpdate: reset weekly channel budgets → seed origins → propagate → reinforce → contradict → decay (grouped cause) → reviewEscalations; endMonth prune. Scheduled events rumour_escalation / rumour_denial_backfire / counter_rumour_runaway resolve at wrap_up,"src/sim/modules/pressures/calculators/rumourPressure.ts; src/sim/modules/cultures/customerInfluence.ts (belief in a damaging story cuts turnout, capped at 5); src/sim/modules/npcs/importance.ts (rumour pressure makes people notable); attribution; memories",RUMOURS report section (src/sim/modules/rumours/rumourReport.ts); world overview rumour block; the three owner actions' target hints (repeated / credited / heard by / much changed in the telling),tests/sim/phase215.rumourNetwork.test.ts (22); tests/sim/phase215.rumourPersistence.test.ts (13); tests/sim/phase83.rumourPruning.test.ts (6),done,done,"CLOSED. Talk now has a source, an audience and a hop count instead of appearing at full volume in everybody's ears at once. Bounds: MAX_RUMOUR_AUDIENCES 6, MAX_RUMOUR_HOPS 5, MAX_SPREAD_PER_RUMOUR_PER_DAY 2, MAX_SPREADS_PER_DAY 4, MAX_CHANNEL_SHARES_PER_WEEK 3, MAX_COUNTER_DEPTH 1, MAX_SPREAD_HISTORY 32, plus the unchanged Phase 83 prune (60 entries / 90 days / strength 10). Two defects found and fixed while landing it: nothing spread at all because minted rumours had no origin and a channel may only repeat what it has heard (origins.ts), and propagation would revive a story nobody had mentioned in three months — which also refreshed lastSpreadDay and so made the monthly stale prune dead code (RUMOUR_SILENCE_LIMIT_DAYS 14 in propagation.ts). Ownership moved off worldModule, which had the lifecycle only because nothing else did; the constants are re-exported from there so existing importers keep working. Migration: ensureRumourNetworkFields derives credibility from strength+accuracy and leaves audiences empty — an old save is not retconned into having been heard. Balance: rumour_pressure peaks ~91 rather than ~74 on the 90-day probe and still falls to 0, so Wave 7's de-saturation holds."
DEP-11,8,ISSUE-178,"Plan §4.2 — beliefs and attribution must alter decisions, not only generate explanation",src/sim/modules/attribution state slice,src/sim/modules/attribution,response slots that change how the tavern is perceived,daily attribution update,reports and card text; no decision rule reads it,world overview attribution list,tests/sim/phase204.wave5.identityAndSurfaces.test.ts,required,open,"Attribution must supply a bounded input to domain decision rules, never mutate unrelated domains directly (plan §8.5)."
DEP-12,9,ISSUE-179,Plan §4.2 — expeditions must contain decisions and risks between commission and final resolution,src/sim/state/TavernState.ts expeditions (ExpeditionsState),src/sim/modules/expeditions,commission and recall owner actions,expedition resolution roll,stock; memories; reports,world overview expedition block,tests/sim/phase70.expeditions.test.ts,required,open,Expedition seeds must stay stable from commission through resolution (plan §9.3).
DEP-13,9,ISSUE-179,Plan §4.2 — local arcs must progress through state and actor behavior rather than mostly age once per month,src/sim/state/TavernState.ts WorldState.localEvents; localArcs module slice,src/sim/modules/localArcs; src/sim/content/events/localArcRegistry.ts (5 definitions),arc-facing response slots,localEventUpdate; monthly ageing,issue seed generators; customers; reports,world overview local arcs,tests/sim/phase35.seasonalArcs.test.ts,required,open,The catalog must collectively exercise eight materially different arc shapes (plan §9.2).
DEP-14,10,ISSUE-180,Plan §4.2 — identity must exert causal force and use hysteresis rather than being only threshold labels,"src/sim/state/TavernState.ts WorldState.tavernIdentity (knownFor, house rules, atmosphere)",src/sim/modules/tavernIdentity,"house rules, policies, rebrand response slots",daily identity recomputation from thresholds,reports and card text; little downstream decision use,web/src/lib/components/world/TavernIdentityStrip.svelte,tests/sim/phase95.tavernIdentityModule.test.ts; tests/sim/phase204.wave5.identityAndSurfaces.test.ts,required,open,Carries OBL-09. Identity labels summarize evidence; they must not replace it (plan §10.3).
DEP-15,10,ISSUE-180,"Plan §4.2 — teleology must contain enough ventures, arcs, openings, failures, and permanent transformations to exercise its general lifecycle","src/sim/state/TavernState.ts ventures, arcs, transformations; openings module slice",src/sim/modules/ventures (1 blueprint); src/sim/modules/arcs (1 hardcoded mastery arc); src/sim/modules/openings,venture investment and arc-support response slots,opening lapse/park/return; arc stage progression,issue seed generators; identity; reports,world overview ventures and arcs,tests/sim/teleologyPhase1.test.ts through teleologyPhase4b.test.ts,required,open,"One venture blueprint and one hardcoded arc cannot exercise the framework (plan §10.1, §10.2)."
DEP-16,11,ISSUE-181,Plan §4.2 — issue cards and response profiles must expose and influence real domain processes rather than impersonating missing simulation through authored meter changes,"src/sim/modules/issues (seed cache); src/sim/modules/responses (pending, applied)",src/sim/modules/issues/issueSeedGenerators.ts + expandedSeedGenerators.ts (25 families),response slots on every surfaced card,daily seed generation at startDay / afterService / closing,src/cards/compose; src/reports; pressures; memories,the card surface; daily report resolved-choices block,tests/sim/phase19.issueSeeds.test.ts; tests/cards/*; tests/sim/phase205.wave6.issueRelevance.test.ts,required,open,Absorbs ISSUE-169 (visible-turn rotation beyond `violence`). A card may not promise a consequence no domain owns (plan §11.1).
DEP-17,11,ISSUE-181,Plan §4.2 — pressure and feedback systems must remain diagnostic but point to causal edges actually executed elsewhere,src/sim/state/TavernState.ts pressures (21 domains); feedback module slice (13 detectors),src/sim/modules/pressures; src/sim/modules/feedback,actions and responses that move contributors,daily pressure recomputation,issue seed generators; reports; UI danger zones,pressure surfaces; feedback loop list,tests/sim/phase18.pressures.test.ts; tests/sim/phase191.pressureConsequence.test.ts,required,open,A system whose only consequence is a direct pressure adjustment fails the phase (plan §5).
DEP-18,11,ISSUE-181,"Plan §4.2 — memory patterns must be based on explicit evidence, not use strength as an accidental event counter; failure-floor and pressure-ceiling saturation must preserve information","src/sim/state/TavernState.ts memories, history, causes",src/sim/modules/memories; src/sim/modules/history; src/sim/modules/causes,response slots that create or contest memories,daily memory formation and decay,attribution; identity; card text; reports,memory and history report sections,tests/sim/phase16.memories.test.ts; tests/sim/phase94.historyProducerCoverage.test.ts,required,open,The richer floor/ceiling state comes from Phase 1 §1.5 so two taverns at zero satisfaction can still differ.
DEP-19,11,ISSUE-181,Plan §4.2 — direct mutations and causal gaps must be eliminated from player-facing state,all module slices,sanctioned ctx mutation helpers; some direct writes remain,n/a,n/a,src/sim/modules/causes; src/sim/core/diff.ts; scripts/true-gaps-audit.ts,cause lists and drilldown explanations,tests/sim/phase197.causeCoverage.test.ts; tests/sim/phase201.wave2.causality.test.ts,required,open,Instrument already exists (`npm run audit:cause-coverage`). Phase 1 §1.4 adds grouped causes and collection-element targets.
DEP-20,13,ISSUE-183,Plan §4.2 — difficulty must change ongoing behavior and be covered by long-run balance tests,the persistent ruleset introduced in Phase 1 §1.3,src/sim/testing/balanceMatrix.ts; scripts/balance-matrix.ts,difficulty selection at new game,n/a,the balance matrix and its baselines,balance matrix report output,tests/sim/phase206.wave7.balanceHarness.test.ts; tests/sim/phase206.wave7.balanceTuning.test.ts,required,open,Absorbs ISSUE-167 (distinct per-bot response policies). Phase 13 §13.3 runs the 28/90/180-day matrix as release proof.
